1,1
2,2
3,3
4,4
5,5
5,5
5,1
5,1
5,9
5,9
6,1
6,1
6,1
6,1
6,9
6,9
6,9
6,9
7,1
7,1
7,1
7,1
7,9
7,9
7,9
7,9
8,27
8,27
9,29
10,30
11,31
12,32
13,33
13,32
14,9
15,36
15,36
15,3
15,3
15,40
16,41
17,42
17,42
17,42
17,42
17,42
17,42
17,42
17,42
17,30
17,30
17,30
17,30
17,30
17,30
17,30
17,30
18,32
19,42
20,1
20,1
20,1
20,1
20,9
20,9
20,9
20,9
20,9
20,69
20,69
20,69
20,69
20,29
20,29
20,29
20,29
20,29
20,78
20,78
21,80
22,81
23,32
23,83
24,84
24,84
24,86
25,3
26,88
27,88
28,90
28,91
29,5
30,33
30,32
31,95
32,36
33,1
33,33
34,2
35,69
36,33
36,33
36,33
36,32
36,32
37,33
38,3
39,36
39,36
39,36
40,30
40,112
40,112
40,84
40,84
40,84
41,3
42,36
43,1
44,69
44,69
44,29
44,29
44,29
45,95
46,95
46,42
46,30
46,112
46,84
47,3
47,3
47,40
47,134
48,2
49,83
49,80
50,1
50,33
51,81
51,81
51,81
51,81
51,81
51,81
52,146
53,32
54,42
55,81
56,112
56,112
57,5
58,40
58,40
59,112
59,84
60,84
61,84
62,81
63,80
64,1
65,81
66,91
67,80
67,2
68,32
68,32
69,80
70,32
71,1
71,1
72,83
72,80
73,80
73,2
73,81
74,2
75,83
76,32
77,90
78,33
79,40
80,33
81,83
82,32
83,1
84,83
85,146
85,31
85,88
86,31
86,88
87,86
88,31
89,88
90,83
90,83
91,2
92,80
93,83
93,80
94,88
95,83
96,83
97,146
98,90
98,90
98,90
99,1
100,95
100,95
101,91
102,3
102,134
103,95
104,91
105,2
105,81
106,5
106,33
106,32
107,88
107,5
107,1
107,33
108,31
108,88
108,5
108,1
109,146
109,146
109,31
110,81
111,33
112,86
113,83
114,31
115,1
116,84
116,86
117,5
117,5
118,32
119,30
120,83
121,246
122,83
123,32
123,83
123,2
124,30
125,88
126,41
127,83
127,80
127,2
128,2
129,80
130,80
131,32
132,2
133,4
134,32
135,81
136,32
137,86
137,90
138,81
139,269
140,33
140,32
141,81
141,81
142,134
143,80
144,80
145,246
145,41
145,41
146,146
147,33
148,80
149,81
150,4
151,4
152,32
153,80
154,80
155,32
155,83
155,2
156,80
157,83
157,80
158,80
159,80
159,80
159,2
160,80
161,81
162,1
162,33
163,84
163,84
163,84
163,84
163,84
163,84
163,84
163,84
164,1
165,83
166,86
166,91
167,30
168,91
169,88
170,81
171,32
172,32
173,91
174,84
175,30
176,84
177,32
178,84
178,90
179,91
179,91
180,32
180,83
181,32
182,1
183,84
184,83
185,42
185,42
185,42
185,30
185,30
186,84
187,146
188,88
189,90
190,42
191,1
192,91
193,42
193,42
193,42
193,30
193,30
193,84
194,84
195,30
195,84
196,146
197,5
198,80
199,88
199,5
200,1
201,83
202,91
202,146
203,80
203,81
204,33
205,86
206,84
206,86
207,95
207,42
207,42
207,30
207,30
207,30
207,30
208,30
209,84
210,88
211,84
211,86
211,86
212,80
213,80
213,81
213,81
214,1
215,83
216,32
217,32
218,32
219,86
220,84
221,33
222,146
223,42
223,42
223,42
223,42
223,42
223,42
223,42
223,42
224,42
225,83
225,80
225,81
226,91
227,81
228,81
229,81
230,42
230,42
230,42
230,42
230,42
230,42
230,42
230,42
231,80
232,2
232,81
233,80
234,80
235,88
236,2
236,81
237,30
238,83
238,80
239,81
240,81
241,2
242,81
243,2
244,32
244,32
244,32
244,32
244,32
245,80
246,81
247,31
248,5
248,1
249,80
249,2
250,2
250,81
251,81
251,81
252,80
252,2
253,1
253,33
254,5
254,1
255,134
255,134
255,95
255,95
255,95
255,95
255,42
256,32
256,83
256,80
256,2
257,32
257,83
257,80
258,80
259,88
259,88
259,88
260,91
261,146
262,2
263,33
264,32
265,88
266,83
267,5
267,5
267,1
267,1
268,33
269,81
270,5
271,30
272,81
273,81
274,31
275,32
276,33
276,32
277,32
277,32
277,80
278,1
279,33
279,32
280,32
281,134
281,134
282,84
282,86
283,88
284,31
285,31
286,146
286,146
287,84
288,1
289,5
290,32
291,88
292,146
293,88
294,88
295,91
296,90
297,84
298,86
299,80
299,2
300,84
300,84
301,84
302,42
303,31
304,95
304,42
305,88
306,33
307,5
308,31
308,31
309,30
310,83
311,83
312,83
313,90
313,90
313,91
313,91
314,80
315,2
316,91
317,90
317,90
317,90
317,90
317,90
318,2
319,1
320,1
321,80
322,5
323,83
324,1
325,1
326,5
326,5
